132	NM_001351159	chr12	+	62654184	62810168	62708585	62798155	23	62654184,62687959,62696570,62698453,62708570,62715244,62719652,62743001,62749111,62775270,62777620,62777858,62783210,62783384,62783576,62784643,62784936,62785595,62786051,62786832,62790074,62794966,62797972,	62654284,62688087,62696701,62699839,62708697,62715390,62719714,62743088,62749256,62775444,62777779,62778083,62783294,62783479,62783768,62784759,62785209,62785666,62786167,62786982,62790178,62795055,62810168,	0	USP15	cmpl	cmpl	-1,-1,-1,-1,0,1,0,2,2,0,0,0,0,0,2,2,1,1,0,2,2,1,0,
1523	NM_017612	chr12	-	122956146	122985479	122958043	122985387	14	122956146,122962387,122962752,122964736,122966068,122966491,122967181,122967825,122968006,122973932,122975008,122977261,122983373,122985186,	122958822,122962505,122962839,122964858,122966211,122966634,122967242,122967891,122968110,122974010,122975114,122977336,122983414,122985479,	0	ZCCHC8	cmpl	cmpl	1,0,0,1,2,0,2,2,0,0,2,2,0,0,
820	NM_001319842	chr12	-	30862485	30907448	30862835	30884337	17	30862485,30864499,30866718,30867892,30869441,30872012,30873744,30876192,30877303,30878899,30881581,30883172,30884276,30887901,30893953,30904004,30906277,	30863404,30864563,30866819,30868075,30869610,30872159,30873849,30876248,30877385,30879022,30882259,30883216,30884444,30888140,30894040,30904067,30907448,	0	CAPRIN2	cmpl	cmpl	1,0,1,1,0,0,0,1,0,0,0,1,0,-1,-1,-1,-1,
1101	NM_018448	chr12	+	67663137	67713733	67663497	67706610	15	67663137,67675689,67686401,67688812,67691186,67691527,67692729,67696102,67698384,67698883,67701176,67703680,67703931,67705472,67706385,	67663565,67675833,67686556,67688936,67691443,67691633,67692875,67696395,67698526,67700377,67701272,67703850,67704096,67705580,67713733,	0	CAND1	cmpl	cmpl	0,2,2,1,2,1,2,1,0,1,1,1,0,0,0,
16	NM_001278470	chr12	+	62860605	62994256	62860987	62986529	34	62860605,62877949,62887694,62888795,62892698,62894562,62895352,62902065,62918294,62918863,62919728,62926217,62928624,62929304,62930930,62931381,62931875,62932031,62932194,62936876,62938677,62940676,62943447,62946660,62949773,62954270,62959016,62960101,62965171,62972224,62974076,62979073,62981853,62986365,	62861098,62878013,62887822,62888927,62892828,62894660,62895478,62902260,62918419,62919000,62919882,62926450,62928706,62929489,62931043,62931486,62931956,62932105,62932285,62936978,62938788,62940852,62943610,62946954,62949972,62954893,62959160,62960230,62965362,62972285,62974200,62979281,62981936,62994256,	0	MON2	cmpl	cmpl	0,0,1,0,0,1,0,0,0,2,1,2,1,2,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,2,0,1,2,1,
645	NM_001145465	chr12	+	7917811	7926717	7917881	7926447	4	7917811,7922578,7923034,7926395,	7917983,7922911,7923114,7926717,	0	NANOGNB	cmpl	cmpl	0,0,0,2,
1063	NM_001252079	chr12	+	62654120	62730474	62654195	62728971	7	62654120,62687959,62696570,62708570,62715244,62719652,62728946,	62654284,62688087,62696701,62708697,62715390,62719714,62730474,	0	USP15	cmpl	cmpl	0,2,1,0,1,0,2,
163	NM_001346460	chr12	-	94762170	94853643	94763686	94806266	9	94762170,94769661,94772566,94794625,94796945,94805472,94806093,94829050,94853332,	94763812,94769793,94772818,94794757,94797038,94805623,94806367,94829103,94853643,	0	CEP83	cmpl	cmpl	0,0,0,0,0,2,0,-1,-1,
179	NM_001372574	chr12	-	111890017	112037119	111890615	112036838	25	111890017,111891480,111893832,111895017,111902465,111907911,111908361,111923068,111923516,111924564,111926279,111947352,111947694,111948188,111951160,111953957,111956052,111957682,111958685,111962995,111990083,111990709,111991961,111993686,112036587,	111890644,111891649,111894060,111895163,111902519,111908044,111908546,111923135,111923669,111924628,111926584,111947423,111947802,111948386,111951343,111954167,111956231,111957880,111958777,111963120,111990234,111990781,111992021,111993723,112037119,	0	ATXN2	cmpl	cmpl	1,0,0,1,1,0,1,0,0,2,0,1,1,1,1,1,2,2,0,1,0,0,0,2,0,
961	NM_003394	chr12	-	49359122	49365518	49359877	49364312	5	49359122,49361728,49363871,49364238,49365237,	49360336,49362102,49364134,49364352,49365518,	0	WNT10B	cmpl	cmpl	0,1,2,0,-1,
